Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
20,Cagliari,it Serie A,32,26.5,44.6,38,418,"3,420",38,43,30,39,4,5,77,3,1.13,0.79,1.92,1.03,1.82,45.5,41.8,30.6,72.4,1.2,0.81,2,1.1,1.91
21,Celta Vigo,es La Liga,30,26.6,53.7,38,418,"3,420",38,55,39,48,7,7,109,5,1.45,1.03,2.47,1.26,2.29,47.7,42.4,33.2,75.6,1.25,0.87,2.13,1.11,1.99
22,Chelsea,eng Premier League,27,26,61.4,38,418,"3,420",38,56,38,48,8,10,51,3,1.47,1,2.47,1.26,2.26,64,56.4,42.4,98.8,1.68,1.12,2.8,1.48,2.6
23,Crotone,it Serie A,31,27.8,46.4,38,418,"3,420",38,44,27,35,9,9,89,4,1.16,0.71,1.87,0.92,1.63,38.5,31.8,24.5,56.3,1.01,0.64,1.66,0.84,1.48
24,Crystal Palace,eng Premier League,24,29.1,40.1,38,418,"3,420",38,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4,0.85,0.55,1.4,0.78,1.33
25,Dijon,fr Ligue 1,33,25.7,46.2,38,418,"3,420",38,25,15,22,3,5,76,5,0.66,0.39,1.05,0.58,0.97,31.5,27.7,20.3,48,0.83,0.53,1.36,0.73,1.26
26,Dortmund,de Bundesliga,26,25.6,59.8,34,374,"3,060",34,74,57,71,3,7,44,1,2.18,1.68,3.85,2.09,3.76,68.6,62.9,51,113.9,2.02,1.5,3.52,1.85,3.35
27,Eibar,es La Liga,30,28.2,49.6,38,418,"3,420",38,29,20,25,4,9,71,3,0.76,0.53,1.29,0.66,1.18,41.5,34.7,26.2,60.8,1.09,0.69,1.78,0.91,1.6
28,Eint Frankfurt,de Bundesliga,25,27.2,54,34,374,"3,060",34,63,52,55,8,8,82,1,1.85,1.53,3.38,1.62,3.15,56.1,50,43.1,93.1,1.65,1.27,2.92,1.47,2.74
29,Elche,es La Liga,30,28.1,47.6,38,418,"3,420",38,33,25,31,2,3,99,3,0.87,0.66,1.53,0.82,1.47,30.5,28.2,21.9,50.1,0.8,0.58,1.38,0.74,1.32
30,Everton,eng Premier League,29,26.3,46.5,38,418,"3,420",38,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,47.1,43.4,32.9,76.3,1.24,0.87,2.11,1.14,2.01
31,Fiorentina,it Serie A,30,26.6,46.2,38,418,"3,420",38,44,31,38,6,6,86,5,1.16,0.82,1.97,1,1.82,45.2,40.7,30.5,71.2,1.19,0.8,1.99,1.07,1.87
32,Freiburg,de Bundesliga,24,26.2,47,34,374,"3,060",34,51,34,45,6,6,62,0,1.5,1,2.5,1.32,2.32,46.2,41.7,29.2,70.9,1.36,0.86,2.22,1.23,2.09
33,Fulham,eng Premier League,28,25.2,49.9,38,418,"3,420",38,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,41.3,36.8,27.8,64.6,1.09,0.73,1.82,0.97,1.7
34,Genoa,it Serie A,34,28.3,44.7,38,418,"3,420",38,46,32,42,4,4,87,2,1.21,0.84,2.05,1.11,1.95,37.8,34.8,25.1,59.9,0.99,0.66,1.66,0.92,1.58
35,Getafe,es La Liga,31,26.7,42.8,38,418,"3,420",38,27,14,24,3,5,120,7,0.71,0.37,1.08,0.63,1,32.7,28.9,20.1,48.9,0.86,0.53,1.39,0.76,1.29
36,Granada,es La Liga,34,27.4,41,38,418,"3,420",38,46,30,43,3,5,97,6,1.21,0.79,2,1.13,1.92,39.5,35.9,23.8,59.6,1.04,0.63,1.67,0.94,1.57
37,Hellas Verona,it Serie A,32,26.2,49.8,38,418,"3,420",38,38,30,35,3,3,91,1,1,0.79,1.79,0.92,1.71,43.5,41.3,31.1,72.4,1.15,0.82,1.97,1.09,1.91
38,Hertha BSC,de Bundesliga,32,25.4,49.4,34,374,"3,060",34,40,29,36,4,6,67,3,1.18,0.85,2.03,1.06,1.91,42.4,37.9,29.8,67.7,1.25,0.88,2.13,1.11,1.99
39,Hoffenheim,de Bundesliga,30,25.7,51.1,34,374,"3,060",34,51,38,46,5,6,68,4,1.5,1.12,2.62,1.35,2.47,51.8,47.3,35.9,83.2,1.52,1.06,2.58,1.39,2.45
40,Huesca,es La Liga,27,28,48.3,38,418,"3,420",38,32,23,29,3,4,69,2,0.84,0.61,1.45,0.76,1.37,35.3,32.5,23.8,56.2,0.93,0.63,1.55,0.85,1.48
41,Inter,it Serie A,25,27.7,52.4,38,418,"3,420",38,84,62,76,8,9,61,2,2.21,1.63,3.84,2,3.63,74.8,68,53.4,121.4,1.97,1.4,3.37,1.79,3.19
42,Juventus,it Serie A,30,27.7,57.1,38,418,"3,420",38,76,59,68,8,10,80,6,2,1.55,3.55,1.79,3.34,74.2,66.7,51.4,118.1,1.95,1.35,3.3,1.76,3.11
43,K̦ln,de Bundesliga,28,24.9,46.3,36,374,"3,060",34,33,23,29,4,6,63,1,0.97,0.68,1.65,0.85,1.53,39.1,34.7,24.6,59.3,1.15,0.72,1.88,1.02,1.74
44,Lazio,it Serie A,30,29.4,53.1,38,418,"3,420",38,59,40,53,6,10,107,5,1.55,1.05,2.61,1.39,2.45,59.8,52.4,40.2,92.7,1.57,1.06,2.63,1.38,2.44
45,Leeds United,eng Premier League,23,26.1,57.6,38,418,"3,420",38,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,57.5,54.5,42.5,97,1.51,1.12,2.63,1.43,2.55
46,Leicester City,eng Premier League,27,26.5,54.6,38,418,"3,420",38,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,56,46.9,33.1,80,1.47,0.87,2.35,1.23,2.11
47,Lens,fr Ligue 1,27,26.4,51.4,38,418,"3,420",38,53,35,43,10,12,94,7,1.39,0.92,2.32,1.13,2.05,56,46.9,34.7,81.6,1.47,0.91,2.39,1.23,2.15
48,Levante,es La Liga,29,28,52.4,38,418,"3,420",38,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,41,36.4,28.5,64.9,1.08,0.75,1.83,0.96,1.71
49,Leverkusen,de Bundesliga,30,25.4,59.9,34,374,"3,060",34,52,41,49,3,3,58,0,1.53,1.21,2.74,1.44,2.65,47.2,45,33.8,78.8,1.39,0.99,2.38,1.32,2.32
50,Lille,fr Ligue 1,21,25.4,53.9,38,418,"3,420",38,62,39,57,5,5,68,2,1.63,1.03,2.66,1.5,2.53,50,46.2,36.1,82.4,1.32,0.95,2.27,1.22,2.17
51,Liverpool,eng Premier League,28,26.8,62.4,38,418,"3,420",38,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50,118.1,1.91,1.32,3.23,1.79,3.11
52,Lorient,fr Ligue 1,27,26.8,44.6,38,418,"3,420",38,48,26,39,9,10,69,3,1.26,0.68,1.95,1.03,1.71,48.8,41.6,31.2,72.7,1.29,0.82,2.11,1.09,1.91
53,Lyon,fr Ligue 1,29,25.8,54.9,38,418,"3,420",38,76,46,65,11,11,66,10,2,1.21,3.21,1.71,2.92,84.6,76.4,55,131.5,2.23,1.45,3.67,2.01,3.46
54,M'Gladbach,de Bundesliga,23,26.9,51.9,34,374,"3,060",34,63,44,53,10,11,61,2,1.85,1.29,3.15,1.56,2.85,55.2,47,34.6,81.7,1.62,1.02,2.64,1.38,2.4
